# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
10

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
BODY,Fuselage,0,DYRSPTEUJJ,0,0,0,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, -2.100000000000000089e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,43,17
# x,y,z,u,w
-1.650374999999999925e+00, 3.733931359047395482e-01, 5.768087874725690289e-01, 3.000000000000000000e+00, 3.500000000000000000e+00
-1.650375000000000147e+00, 4.681192369053256419e-01, 4.206232429656070471e-01, 3.000000000000000000e+00, 3.750000000000000000e+00
-1.650374999999999925e+00, 4.749999999999999778e-01, 2.310000000000000109e-01, 3.000000000000000000e+00, 4.000000000000000000e+00
-1.511946421806361185e+00, 4.851851851851851638e-01, 2.229333333333333167e-01, 3.333333333333333481e+00, 0.000000000000000000e+00
-1.512039443179419296e+00, 4.548987188351759636e-01, 4.777121436264041010e-02, 3.333333333333333481e+00, 2.500000000000000000e-01
-1.512424408248089547e+00, 3.453605237652274673e-01, -9.231062747481716402e-02, 3.333333333333333481e+00, 5.000000000000000000e-01
-1.512991264984570483e+00, 1.810001500454792578e-01, -1.654691718195705485e-01, 3.333333333333333481e+00, 7.500000000000000000e-01
-1.513297252933659465e+00, -6.724181548657305743e-17, -1.854753959055871482e-01, 3.333333333333333481e+00, 1.000000000000000000e+00
-1.512991264984570483e+00, -1.810001500454794243e-01, -1.654691718195704653e-01, 3.333333333333333481e+00, 1.250000000000000000e+00
-1.512424408248089547e+00, -3.453605237652276339e-01, -9.231062747481698361e-02, 3.333333333333333481e+00, 1.500000000000000000e+00
-1.512039443179419296e+00, -4.548987188351760746e-01, 4.777121436264049337e-02, 3.333333333333333481e+00, 1.750000000000000000e+00
-1.511946421806361185e+00, -4.851851851851851638e-01, 2.229333333333333167e-01, 3.333333333333333481e+00, 2.000000000000000000e+00
-1.511961533146783054e+00, -4.771379353643190324e-01, 4.161571262744289124e-01, 3.333333333333333481e+00, 2.250000000000000000e+00
-1.511958361790103123e+00, -3.806376736927002957e-01, 5.753212699541538910e-01, 3.333333333333333481e+00, 2.500000000000000000e+00
