# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
8

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
BODY,Fuselage,0,PBJPAYBZQU,0,0,0,9.997620270799091324e-01, 0.000000000000000000e+00, -2.181488503456112046e-02, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.181488503456112046e-02, 0.000000000000000000e+00, 9.997620270799091324e-01, 0.000000000000000000e+00, -3.330000000000000071e+00, 0.000000000000000000e+00, 1.000000000000000056e-01, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,35,17
# x,y,z,u,w
-2.812664177339541993e+00, 5.000000000000000000e-01, -8.257907037012146567e-02, 2.000000000000000000e+00, 4.000000000000000000e+00
-2.609121254779346089e+00, 5.130859374999999778e-01, -9.239999325156680876e-02, 2.250000000000000000e+00, 0.000000000000000000e+00
-2.613769422595410674e+00, 4.940406937104052654e-01, -3.014651248622158830e-01, 2.250000000000000000e+00, 2.500000000000000000e-01
-2.618274422492619991e+00, 4.060515088320163501e-01, -4.915360872749557353e-01, 2.250000000000000000e+00, 5.000000000000000000e-01
-2.620446183812604080e+00, 2.133656626840924608e-01, -5.668942882384951920e-01, 2.250000000000000000e+00, 7.500000000000000000e-01
-2.620854769045025900e+00, -8.588549501843773671e-17, -5.725525647536361395e-01, 2.250000000000000000e+00, 1.000000000000000000e+00
-2.620446183812604524e+00, -2.133656626840926829e-01, -5.668942882384954141e-01, 2.250000000000000000e+00, 1.250000000000000000e+00
-2.618274422492619991e+00, -4.060515088320166832e-01, -4.915360872749555132e-01, 2.250000000000000000e+00, 1.500000000000000000e+00
-2.613769422595410674e+00, -4.940406937104051543e-01, -3.014651248622154389e-01, 2.250000000000000000e+00, 1.750000000000000000e+00
-2.609121254779346089e+00, -5.130859374999999778e-01, -9.239999325156680876e-02, 2.250000000000000000e+00, 2.000000000000000000e+00
-2.604611123566240138e+00, -4.898676076933154988e-01, 1.149391900575211928e-01, 2.250000000000000000e+00, 2.250000000000000000e+00
-2.600553164723982125e+00, -4.000819697623421711e-01, 3.007779072152722000e-01, 2.250000000000000000e+00, 2.500000000000000000e+00
-2.598994374122097106e+00, -2.090834476964918975e-01, 3.717798009510161483e-01, 2.250000000000000000e+00, 2.750000000000000000e+00
-2.598910267206581359e+00, 7.308895467434935605e-23, 3.755629420589784995e-01, 2.250000000000000000e+00, 3.000000000000000000e+00
-2.598994374122097550e+00, 2.090834476964920086e-01, 3.717798009510160373e-01, 2.250000000000000000e+00, 3.250000000000000000e+00
